XmacGene,XmacGeneID,Evalue,HumanGene,SwissprotAnnotationID
gene11347,GeneID:102226289,3.00E-78,sp|Q86VU5|CMTD1_HUMAN,Q86VU5
gene11348,GeneID:102226544,4.00E-146,tr|A0A0A0MR02|A0A0A0MR02_HUMAN,A0A0A0MR02
gene11349,GeneID:102235625,0,sp|Q96LT4|SAMD8_HUMAN,Q96LT4
gene1135,GeneID:102232196,2.00E-121,sp|Q8IY82|DRC7_HUMAN,Q8IY82
gene11350,GeneID:102221782,9.00E-70,sp|Q6B8I1|DS13A_HUMAN,Q6B8I1
gene11351,GeneID:111609949,4.00E-56,sp|Q6B8I1|DS13A_HUMAN,Q6B8I1
gene11352,GeneID:102222053,2.00E-68,sp|Q9UII6|DS13B_HUMAN,Q9UII6
gene11353,GeneID:102222318,3.00E-49,sp|Q9UII6|DS13B_HUMAN,Q9UII6
gene11354,GeneID:102227479,9.00E-68,sp|Q68J44|DUPD1_HUMAN,Q68J44
gene11355,GeneID:102227216,0,sp|Q8WYB5|KAT6B_HUMAN,Q8WYB5
gene11356,GeneID:102227736,NA,NA,
gene11357,GeneID:102228164,0,sp|P18206|VINC_HUMAN,P18206
gene11358,GeneID:102228412,7.00E-82,sp|O75973|C1QRF_HUMAN,O75973
gene11359,GeneID:102228674,1.00E-86,sp|Q8WVC6|DCAKD_HUMAN,Q8WVC6
gene1136,GeneID:111608787,5.00E-05,tr|E9PN59|E9PN59_HUMAN,E9PN59
gene11360,GeneID:111609847,2.00E-141,sp|Q9BZE2|PUS3_HUMAN,Q9BZE2
gene11361,GeneID:111609913,3.00E-121,sp|Q9BZE2|PUS3_HUMAN,Q9BZE2
gene11362,GeneID:102237414,3.00E-121,sp|Q9BZE2|PUS3_HUMAN,Q9BZE2
gene11363,GeneID:111609858,NA,NA,
gene11364,GeneID:111609914,1.00E-121,sp|Q9BZE2|PUS3_HUMAN,Q9BZE2
gene11365,GeneID:111609915,3.00E-121,sp|Q9BZE2|PUS3_HUMAN,Q9BZE2
gene11366,GeneID:111609862,NA,NA,
gene11367,GeneID:111609916,1.00E-119,sp|Q9BZE2|PUS3_HUMAN,Q9BZE2
gene11368,GeneID:111609897,7.00E-23,sp|P08962|CD63_HUMAN,P08962
gene11369,GeneID:102222571,0,sp|Q15746|MYLK_HUMAN,Q15746
gene1137,GeneID:111608785,1.00E-06,sp|P01833|PIGR_HUMAN,P01833
gene11370,GeneID:102228936,6.00E-172,sp|Q13057|COASY_HUMAN,Q13057
gene11371,GeneID:102222829,0,sp|Q13443|ADAM9_HUMAN,Q13443
gene11372,GeneID:102223086,5.00E-51,sp|P46098|5HT3A_HUMAN,P46098
gene11374,GeneID:102223344,3.00E-44,sp|P46098|5HT3A_HUMAN,P46098
gene11375,GeneID:102223601,2.00E-49,sp|P46098|5HT3A_HUMAN,P46098
gene11376,GeneID:102223859,1.00E-49,sp|A5X5Y0|5HT3E_HUMAN,A5X5Y0
gene11377,GeneID:102224117,4.00E-48,sp|P46098|5HT3A_HUMAN,P46098
gene11378,GeneID:102224376,1.00E-49,sp|P46098|5HT3A_HUMAN,P46098
gene11379,GeneID:102224624,3.00E-52,sp|P46098|5HT3A_HUMAN,P46098
gene1138,GeneID:111608955,9.00E-07,sp|P01833|PIGR_HUMAN,P01833
gene11380,GeneID:102224890,5.00E-47,sp|A5X5Y0|5HT3E_HUMAN,A5X5Y0
gene11381,GeneID:102225147,0,sp|Q96PX1|RN157_HUMAN,Q96PX1
gene11382,GeneID:102229452,1.00E-47,tr|J3QL05|J3QL05_HUMAN,J3QL05
gene11383,GeneID:102229976,9.00E-18,sp|P84157|MXRA7_HUMAN,P84157
gene11384,GeneID:102230432,3.00E-89,sp|Q9NSC7|SIA7A_HUMAN,Q9NSC7
gene11385,GeneID:102225407,1.00E-77,sp|Q9NSC7|SIA7A_HUMAN,Q9NSC7
gene11386,GeneID:102225672,6.00E-89,sp|Q9NSC7|SIA7A_HUMAN,Q9NSC7
gene11387,GeneID:111609962,NA,NA,
gene11388,GeneID:102230694,6.00E-176,sp|Q9BZR9|TRIM8_HUMAN,Q9BZR9
gene11389,GeneID:102231216,3.00E-117,sp|P36405|ARL3_HUMAN,P36405
gene1139,GeneID:111608791,2.00E-04,sp|P01833|PIGR_HUMAN,P01833
gene11390,GeneID:102230953,3.00E-150,sp|Q96NB2|SFXN2_HUMAN,Q96NB2
gene11391,GeneID:102231470,1.00E-111,sp|P16035|TIMP2_HUMAN,P16035
gene11392,GeneID:102231734,0,sp|Q15438|CYH1_HUMAN,Q15438
gene11393,GeneID:102232327,0,sp|Q32NB8|PGPS1_HUMAN,Q32NB8
gene11394,GeneID:102232586,2.00E-40,sp|O14543|SOCS3_HUMAN,O14543
gene11395,GeneID:102225933,NA,NA,
gene11396,GeneID:111609970,NA,NA,
gene11397,GeneID:102232849,0,sp|O00418|EF2K_HUMAN,O00418
gene11398,GeneID:111609978,NA,NA,
gene11399,GeneID:102233111,0,sp|Q9NVU0|RPC5_HUMAN,Q9NVU0
gene114,GeneID:102217934,0,sp|Q01538|MYT1_HUMAN,Q01538
gene1140,GeneID:111608801,NA,NA,
gene11400,GeneID:102226194,3.00E-41,sp|Q01850|CDR2_HUMAN,Q01850
gene11401,GeneID:102226447,0,sp|P56730|NETR_HUMAN,P56730
gene11402,GeneID:102232336,2.00E-46,sp|P14373|TRI27_HUMAN,P14373
gene11403,GeneID:102233374,0,tr|A0A2Q3DQE3|A0A2Q3DQE3_HUMAN,A0A2Q3DQE3
gene11404,GeneID:102226704,1.00E-72,tr|H3BLT9|H3BLT9_HUMAN,H3BLT9
gene11405,GeneID:102234486,0,sp|P53992|SC24C_HUMAN,P53992
gene11406,GeneID:102226964,2.00E-47,sp|Q9H987|SYP2L_HUMAN,Q9H987
gene11407,GeneID:102234744,2.00E-26,sp|Q9NP98|MYOZ1_HUMAN,Q9NP98
gene11408,GeneID:102227218,0,sp|Q70EL1|UBP54_HUMAN,Q70EL1
gene11409,GeneID:102227481,8.00E-143,sp|Q9UHM6|OPN4_HUMAN,Q9UHM6
gene1141,GeneID:111608794,1.00E-08,sp|P01833|PIGR_HUMAN,P01833
gene11410,GeneID:102235006,4.00E-72,sp|O75112|LDB3_HUMAN,O75112
gene11411,GeneID:102235452,2.00E-13,tr|E7EPV7|E7EPV7_HUMAN,E7EPV7
gene11412,GeneID:102235867,0,sp|P00367|DHE3_HUMAN,P00367
gene11413,GeneID:111609946,NA,NA,
gene11414,GeneID:102227739,4.00E-81,sp|Q99814|EPAS1_HUMAN,Q99814
gene11415,GeneID:102236119,0,sp|Q02156|KPCE_HUMAN,Q02156
gene11416,GeneID:102236374,NA,NA,
gene11417,GeneID:102236622,0,sp|O75688|PPM1B_HUMAN,O75688
gene11418,GeneID:111609971,NA,NA,
gene11419,GeneID:102227999,0,sp|Q9BTC8|MTA3_HUMAN,Q9BTC8
gene1142,GeneID:111608783,2.00E-06,sp|P01833|PIGR_HUMAN,P01833
gene11420,GeneID:102237063,4.00E-167,sp|Q8TAE7|KCNG3_HUMAN,Q8TAE7
gene11421,GeneID:102237316,6.00E-52,sp|O14548|COX7R_HUMAN,O14548
gene11422,GeneID:102237579,6.00E-52,sp|Q07326|PIGF_HUMAN,Q07326
gene11423,GeneID:102237834,1.00E-63,sp|Q9P021|CRIPT_HUMAN,Q9P021
gene11424,GeneID:111609824,5.00E-108,sp|P30793|GCH1_HUMAN,P30793
gene11425,GeneID:111609817,3.00E-10,tr|M0QZC3|M0QZC3_HUMAN,M0QZC3
gene11426,GeneID:111609918,NA,NA,
gene11427,GeneID:102234491,0,sp|P43246|MSH2_HUMAN,P43246
gene11428,GeneID:102238361,0,sp|Q86XK2|FBX11_HUMAN,Q86XK2
gene11429,GeneID:102216549,0,tr|A0A1D5RMN4|A0A1D5RMN4_HUMAN,A0A1D5RMN4
gene1143,GeneID:111608775,2.00E-09,sp|P01833|PIGR_HUMAN,P01833
gene11430,GeneID:102216809,0,sp|Q9ULB1|NRX1A_HUMAN,Q9ULB1
gene11431,GeneID:102217066,3.00E-95,sp|Q8WUX2|CHAC2_HUMAN,Q8WUX2
gene11432,GeneID:102228252,0,sp|Q14997|PSME4_HUMAN,Q14997
gene11433,GeneID:102228505,0,sp|P35442|TSP2_HUMAN,P35442
gene11434,GeneID:102228771,2.00E-95,sp|O00180|KCNK1_HUMAN,O00180
gene11435,GeneID:102217482,6.00E-170,sp|P49961|ENTP1_HUMAN,P49961
gene11436,GeneID:102217732,0,sp|P23469|PTPRE_HUMAN,P23469
gene11437,GeneID:102218148,3.00E-12,sp|Q8NCR9|CLRN3_HUMAN,Q8NCR9
gene11438,GeneID:102218410,7.00E-100,sp|Q12951|FOXI1_HUMAN,Q12951
gene11439,GeneID:102229035,0,sp|Q14185|DOCK1_HUMAN,Q14185
gene1144,GeneID:111608796,3.00E-07,sp|Q496F6|CLM2_HUMAN,Q496F6
gene11440,GeneID:102218659,7.00E-135,sp|Q6ZSG2|INSY2_HUMAN,Q6ZSG2
gene11441,GeneID:111609818,4.00E-05,tr|H7C3F8|H7C3F8_HUMAN,H7C3F8
gene11442,GeneID:102229297,0,sp|O43184|ADA12_HUMAN,O43184
gene11443,GeneID:102229556,0,sp|Q7L7V1|DHX32_HUMAN,Q7L7V1
gene11444,GeneID:102218658,9.00E-107,sp|Q9P287|BCCIP_HUMAN,Q9P287
gene11445,GeneID:102218923,3.00E-98,sp|P10746|HEM4_HUMAN,P10746
gene11446,GeneID:102229819,0,sp|Q8N119|MMP21_HUMAN,Q8N119
gene11447,GeneID:102226960,0,sp|P56545|CTBP2_HUMAN,P56545
gene11448,GeneID:102227214,0,sp|Q9UGI0|ZRAN1_HUMAN,Q9UGI0
gene11449,GeneID:102218414,1.00E-86,sp|Q96IR7|HPDL_HUMAN,Q96IR7
gene1145,GeneID:111608774,5.00E-84,sp|Q15072|OZF_HUMAN,Q15072
gene11450,GeneID:102219365,2.00E-64,sp|Q14153|FA53B_HUMAN,Q14153
gene11451,GeneID:102230340,3.00E-120,sp|Q9H008|LHPP_HUMAN,Q9H008
gene11452,GeneID:102219617,0,sp|P04181|OAT_HUMAN,P04181
gene11453,GeneID:102220050,0,sp|Q7LFX5|CHSTF_HUMAN,Q7LFX5
gene11454,GeneID:102230608,0,sp|Q8N436|CPXM2_HUMAN,Q8N436
gene11455,GeneID:102220306,8.00E-138,sp|Q8NDV2|GPR26_HUMAN,Q8NDV2
gene11456,GeneID:111609940,NA,NA,
gene11457,GeneID:102220572,0,sp|O43684|BUB3_HUMAN,O43684
gene11458,GeneID:102230871,2.00E-80,sp|A6NHT5|HMX3_HUMAN,A6NHT5
gene11459,GeneID:102220838,0,sp|P45954|ACDSB_HUMAN,P45954
gene1146,GeneID:102234232,3.00E-89,tr|A0A075B7G3|A0A075B7G3_HUMAN,A0A075B7G3
gene11460,GeneID:102221092,5.00E-146,sp|Q9H5V7|IKZF5_HUMAN,Q9H5V7
gene11461,GeneID:102231130,7.00E-74,tr|H7BYY4|H7BYY4_HUMAN,H7BYY4
gene11462,GeneID:102221357,3.00E-69,sp|Q86TG1|T150A_HUMAN,Q86TG1
gene11463,GeneID:102231386,4.00E-127,sp|Q9H5J4|ELOV6_HUMAN,Q9H5J4
gene11464,GeneID:102221623,5.00E-57,sp|P18545|CNRG_HUMAN,P18545
gene11465,GeneID:111609833,1.00E-23,sp|Q5BKU9|OXLD1_HUMAN,Q5BKU9
gene11466,GeneID:102231651,1.00E-108,sp|Q9NQ84|GPC5C_HUMAN,Q9NQ84
gene11467,GeneID:102231909,5.00E-111,sp|Q7Z601|GP142_HUMAN,Q7Z601
gene11468,GeneID:102232164,0,sp|A6NE02|BTBDH_HUMAN,A6NE02
gene11469,GeneID:102221885,0,sp|P52564|MP2K6_HUMAN,P52564
gene1147,GeneID:111608770,1.00E-124,sp|Q14590|ZN235_HUMAN,Q14590
gene11470,GeneID:102222149,0,sp|P63252|KCNJ2_HUMAN,P63252
gene11471,GeneID:102232413,9.00E-98,sp|Q9NPI9|KCJ16_HUMAN,Q9NPI9
gene11472,GeneID:102232678,8.00E-136,sp|O43603|GALR2_HUMAN,O43603
gene11473,GeneID:102222416,0,tr|B4DJ07|B4DJ07_HUMAN,B4DJ07
gene11474,GeneID:102223342,9.00E-102,sp|Q9NYZ1|TV23B_HUMAN,Q9NYZ1
gene11475,GeneID:102232937,7.00E-147,sp|O95361|TRI16_HUMAN,O95361
gene11476,GeneID:102223599,3.00E-145,sp|Q8N9I5|FADS6_HUMAN,Q8N9I5
gene11477,GeneID:102233199,0,sp|Q495M9|USH1G_HUMAN,Q495M9
gene11478,GeneID:102223857,0,sp|Q8IV36|HID1_HUMAN,Q8IV36
gene11479,GeneID:102224115,3.00E-98,tr|E7ET40|E7ET40_HUMAN,E7ET40
gene1148,GeneID:111608778,4.00E-09,sp|P01833|PIGR_HUMAN,P01833
gene11480,GeneID:102233460,NA,NA,
gene11481,GeneID:102224374,NA,NA,
gene11482,GeneID:102233719,NA,NA,
gene11484,GeneID:102233974,1.00E-13,sp|O60896|RAMP3_HUMAN,O60896
gene11485,GeneID:102234235,8.00E-37,sp|P51684|CCR6_HUMAN,P51684
gene11486,GeneID:102234488,5.00E-180,sp|O95466|FMNL1_HUMAN,O95466
gene11487,GeneID:102234746,0,sp|Q9C0H9|SRCN1_HUMAN,Q9C0H9
gene11488,GeneID:102235008,2.00E-133,sp|Q14451|GRB7_HUMAN,Q14451
gene11489,GeneID:102224888,1.00E-128,sp|P84077|ARF1_HUMAN,P84077
gene1149,GeneID:111608815,1.00E-16,sp|P06734|FCER2_HUMAN,P06734
gene11490,GeneID:102235269,7.00E-69,sp|Q99558|M3K14_HUMAN,Q99558
gene11491,GeneID:102235530,2.00E-109,sp|P28799|GRN_HUMAN,P28799
gene11492,GeneID:102225325,1.00E-123,sp|A8MVW0|F1712_HUMAN,A8MVW0
gene11493,GeneID:102235780,0,sp|P34998|CRFR1_HUMAN,P34998
gene11494,GeneID:102236037,3.00E-157,tr|A0A0G2JQF4|A0A0G2JQF4_HUMAN,A0A0G2JQF4
gene11495,GeneID:102225585,5.00E-84,tr|A0A0G2JQJ7|A0A0G2JQJ7_HUMAN,A0A0G2JQJ7
gene11496,GeneID:102226033,6.00E-71,sp|Q96AG4|LRC59_HUMAN,Q96AG4
gene11497,GeneID:102226290,2.00E-84,tr|J3QRL7|J3QRL7_HUMAN,J3QRL7
gene11498,GeneID:102236294,1.00E-34,sp|Q9BQS2|SYT15_HUMAN,Q9BQS2
gene11499,GeneID:111609864,9.00E-07,sp|Q6ZVF9|GRIN3_HUMAN,Q6ZVF9
gene115,GeneID:102232726,0,sp|Q9NU19|TB22B_HUMAN,Q9NU19
gene1150,GeneID:111608961,5.00E-10,sp|Q9UBG0|MRC2_HUMAN,Q9UBG0
gene11500,GeneID:102236545,9.00E-66,sp|P08217|CEL2A_HUMAN,P08217
gene11501,GeneID:102226545,1.00E-106,sp|O14925|TIM23_HUMAN,O14925
gene11502,GeneID:102226803,1.00E-167,sp|Q96PU8|QKI_HUMAN,Q96PU8
gene11503,GeneID:102236803,4.00E-166,sp|P23942|PRPH2_HUMAN,P23942
gene11504,GeneID:102237065,6.00E-101,sp|Q15814|TBCC_HUMAN,Q15814
gene11505,GeneID:102237318,8.00E-42,sp|Q6AI39|BICRL_HUMAN,Q6AI39
gene11506,GeneID:111609873,8.00E-18,sp|P56134|ATPK_HUMAN,P56134
gene11507,GeneID:102227062,0,sp|Q14344|GNA13_HUMAN,Q14344
gene11508,GeneID:102227314,0,sp|O75916|RGS9_HUMAN,O75916
gene11509,GeneID:102237581,0,sp|Q14957|NMDE3_HUMAN,Q14957
gene1151,GeneID:102221733,7.00E-12,sp|Q9UBG0|MRC2_HUMAN,Q9UBG0
gene11510,GeneID:102227576,NA,NA,
gene11511,GeneID:102237836,6.00E-08,sp|P52306|GDS1_HUMAN,P52306
gene11512,GeneID:102238095,NA,NA,
gene11513,GeneID:102238363,0,sp|Q2TAC6|KIF19_HUMAN,Q2TAC6
gene11514,GeneID:102227737,0,sp|Q9BSA4|TTYH2_HUMAN,Q9BSA4
gene11515,GeneID:102227997,4.00E-27,sp|P63173|RL38_HUMAN,P63173
gene11516,GeneID:111609831,NA,NA,
gene11517,GeneID:102228165,0,sp|Q58EX2|SDK2_HUMAN,Q58EX2
gene11518,GeneID:102228413,6.00E-50,sp|Q9H3Q1|BORG4_HUMAN,Q9H3Q1
gene11519,GeneID:102228676,0,sp|Q9BXF9|TEKT3_HUMAN,Q9BXF9
gene1152,GeneID:102231420,7.00E-18,sp|O14594|NCAN_HUMAN,O14594
gene11520,GeneID:102228938,1.00E-34,sp|Q01453|PMP22_HUMAN,Q01453
gene11521,GeneID:102229201,0,sp|Q9Y662|HS3SB_HUMAN,Q9Y662
gene11522,GeneID:102216551,2.00E-147,sp|Q12887|COX10_HUMAN,Q12887
gene11523,GeneID:111609972,NA,NA,
gene11524,GeneID:102229454,5.00E-173,sp|Q9Y663|HS3SA_HUMAN,Q9Y663
gene11525,GeneID:111609973,NA,NA,
gene11526,GeneID:102216811,4.00E-70,sp|Q6P3V2|Z585A_HUMAN,Q6P3V2
gene11527,GeneID:102229715,0,tr|D3DTX6|D3DTX6_HUMAN,D3DTX6
gene11528,GeneID:102217067,6.00E-87,sp|Q16586|SGCA_HUMAN,Q16586
gene11529,GeneID:102229978,2.00E-130,sp|P02452|CO1A1_HUMAN,P02452
gene1153,GeneID:106700295,3.00E-16,sp|O14594|NCAN_HUMAN,O14594
gene11530,GeneID:111609832,NA,NA,
gene11531,GeneID:102230433,1.00E-156,sp|Q6NUM9|RETST_HUMAN,Q6NUM9
gene11532,GeneID:102230695,1.00E-19,sp|O14610|GBGT2_HUMAN,O14610
gene11533,GeneID:102230954,2.00E-140,sp|Q96IK0|TM101_HUMAN,Q96IK0
gene11534,GeneID:111609941,1.00E-16,tr|Q5T0V2|Q5T0V2_HUMAN,Q5T0V2
gene11535,GeneID:102231217,1.00E-120,sp|Q3MHD2|LSM12_HUMAN,Q3MHD2
gene11536,GeneID:102231471,3.00E-76,sp|Q9BUM1|G6PC3_HUMAN,Q9BUM1
gene11537,GeneID:102231735,0,sp|Q9HCD6|TANC2_HUMAN,Q9HCD6
gene11538,GeneID:102217317,4.00E-13,sp|Q9H992|MARH7_HUMAN,Q9H992
gene11539,GeneID:102231991,1.00E-48,sp|Q8N815|CNTD1_HUMAN,Q8N815
gene1154,GeneID:111608811,7.00E-21,sp|O14594|NCAN_HUMAN,O14594
gene11540,GeneID:102232249,3.00E-32,sp|Q9Y2R0|COA3_HUMAN,Q9Y2R0
gene11541,GeneID:102217568,0,sp|Q9H4A3|WNK1_HUMAN,Q9H4A3
gene11542,GeneID:102217820,2.00E-101,sp|Q9BRG1|VPS25_HUMAN,Q9BRG1
gene11543,GeneID:102218069,2.00E-157,tr|E9PNT2|E9PNT2_HUMAN,E9PNT2
gene11544,GeneID:111609961,NA,NA,
gene11545,GeneID:102232503,0,sp|Q14CX5|MF13A_HUMAN,Q14CX5
gene11546,GeneID:102218332,0,sp|Q9NTN9|SEM4G_HUMAN,Q9NTN9
gene11547,GeneID:102232772,8.00E-57,tr|B1AL05|B1AL05_HUMAN,B1AL05
gene11548,GeneID:102218585,0,sp|Q96RR1|PEO1_HUMAN,Q96RR1
gene11549,GeneID:102218841,5.00E-57,sp|Q9BRK4|LZTS2_HUMAN,Q9BRK4
gene1155,GeneID:111608822,NA,NA,
gene11550,GeneID:102219104,2.00E-144,sp|Q9H5P4|PDZD7_HUMAN,Q9H5P4
gene11551,GeneID:102233033,8.00E-72,sp|Q9BRX8|PXL2A_HUMAN,Q9BRX8
gene11552,GeneID:111609836,7.00E-17,tr|X1WI33|X1WI33_HUMAN,X1WI33
gene11553,GeneID:102233459,0,sp|P35499|SCN4A_HUMAN,P35499
gene11554,GeneID:102219366,5.00E-05,sp|P40259|CD79B_HUMAN,P40259
gene11555,GeneID:106699651,NA,NA,
gene11556,GeneID:111609837,1.00E-04,sp|P01568|IFN21_HUMAN,P01568
gene11557,GeneID:106700431,3.00E-04,sp|P01562|IFNA1_HUMAN,P01562
gene11558,GeneID:102219869,0,sp|Q9Y4G2|PKHM1_HUMAN,Q9Y4G2
gene11559,GeneID:102233718,3.00E-97,sp|Q8N7A1|KLDC1_HUMAN,Q8N7A1
gene1156,GeneID:102225939,2.00E-15,tr|K7EKF8|K7EKF8_HUMAN,K7EKF8
gene11560,GeneID:102233973,7.00E-70,sp|Q14847|LASP1_HUMAN,Q14847
gene11561,GeneID:111609979,NA,NA,
gene11562,GeneID:102234234,2.00E-150,sp|Q8IUK5|PLDX1_HUMAN,Q8IUK5
gene11563,GeneID:102234487,4.00E-09,sp|Q9UBP4|DKK3_HUMAN,Q9UBP4
gene11564,GeneID:102234745,4.00E-126,tr|A0A2R8YGB5|A0A2R8YGB5_HUMAN,A0A2R8YGB5
gene11565,GeneID:102235007,0,sp|P16066|ANPRA_HUMAN,P16066
gene11566,GeneID:102235268,0,sp|Q9ULC5|ACSL5_HUMAN,Q9ULC5
gene11567,GeneID:102220395,0,sp|Q12955|ANK3_HUMAN,Q12955
gene11568,GeneID:102220133,4.00E-71,sp|P55083|MFAP4_HUMAN,P55083
gene11569,GeneID:102235529,2.00E-151,sp|P35575|G6PC_HUMAN,P35575
gene1157,GeneID:111608812,4.00E-22,tr|A0A1B0GV53|A0A1B0GV53_HUMAN,A0A1B0GV53
gene11570,GeneID:102235779,1.00E-110,sp|P35575|G6PC_HUMAN,P35575
gene11571,GeneID:102236036,1.00E-150,sp|P61289|PSME3_HUMAN,P61289
gene11572,GeneID:102236463,1.00E-114,sp|Q14596|NBR1_HUMAN,Q14596
gene11573,GeneID:102237064,8.00E-31,sp|Q96A25|T106A_HUMAN,Q96A25
gene11574,GeneID:102237317,1.00E-100,sp|P49703|ARL4D_HUMAN,P49703
gene11575,GeneID:102216810,1.00E-89,sp|P51452|DUS3_HUMAN,P51452
gene11576,GeneID:102216550,8.00E-47,sp|Q9BQB4|SOST_HUMAN,Q9BQB4
gene11577,GeneID:102238362,3.00E-78,sp|P50221|MEOX1_HUMAN,P50221
gene11578,GeneID:102238094,7.00E-177,sp|P43268|ETV4_HUMAN,P43268
gene11579,GeneID:102237835,0,sp|Q14562|DHX8_HUMAN,Q14562
gene1158,GeneID:102231822,2.00E-108,sp|P35236|PTN7_HUMAN,P35236
gene11580,GeneID:102237580,0,sp|P10827|THA_HUMAN,P10827
gene11581,GeneID:102217224,4.00E-89,sp|Q8N138|ORML3_HUMAN,Q8N138
gene11582,GeneID:102217483,0,sp|P56703|WNT3_HUMAN,P56703
gene11583,GeneID:102217733,0,sp|P46459|NSF_HUMAN,P46459
gene11584,GeneID:102217984,0,sp|O00231|PSD11_HUMAN,O00231
gene11585,GeneID:102218248,4.00E-168,sp|Q15078|CD5R1_HUMAN,Q15078
gene11586,GeneID:102220657,0,sp|O94832|MYO1D_HUMAN,O94832
gene11587,GeneID:102223173,0,sp|Q15119|PDK2_HUMAN,Q15119
gene11588,GeneID:102225757,3.00E-90,sp|A7MCY6|TBKB1_HUMAN,A7MCY6
gene11589,GeneID:102226020,1.00E-130,sp|Q16650|TBR1_HUMAN,Q16650
gene1159,GeneID:102237483,5.00E-133,sp|Q96BM9|ARL8A_HUMAN,Q96BM9
gene11590,GeneID:102226279,0,sp|Q9BZF3|OSBL6_HUMAN,Q9BZF3
gene11591,GeneID:102226532,2.00E-74,sp|Q7Z7H8|RM10_HUMAN,Q7Z7H8
gene11592,GeneID:102226790,3.00E-105,sp|Q9NVS9|PNPO_HUMAN,Q9NVS9
gene11593,GeneID:102227049,2.00E-33,sp|Q9BU68|PR15L_HUMAN,Q9BU68
gene11594,GeneID:102227301,0,sp|Q96JB5|CK5P3_HUMAN,Q96JB5
gene11595,GeneID:102227561,8.00E-153,sp|Q14494|NF2L1_HUMAN,Q14494
gene11596,GeneID:102221625,7.00E-75,sp|P83916|CBX1_HUMAN,P83916
gene11597,GeneID:102221359,4.00E-72,tr|J3KTN6|J3KTN6_HUMAN,J3KTN6
gene11598,GeneID:102228661,4.00E-89,sp|Q86WV1|SKAP1_HUMAN,Q86WV1
gene11599,GeneID:102228923,4.00E-55,tr|A0A2R8Y4R9|A0A2R8Y4R9_HUMAN,A0A2R8Y4R9
gene116,GeneID:111612275,5.00E-14,sp|Q0VGE8|ZN816_HUMAN,Q0VGE8
gene1160,GeneID:102237740,1.00E-85,sp|O60883|G37L1_HUMAN,O60883
gene11600,GeneID:102229188,5.00E-41,sp|P31249|HXD3_HUMAN,P31249
gene11601,GeneID:102223867,6.00E-66,sp|P09067|HXB5_HUMAN,P09067
gene11602,GeneID:102216994,7.00E-74,sp|P17509|HXB6_HUMAN,P17509
gene11603,GeneID:102216670,0,sp|Q8N841|TTLL6_HUMAN,Q8N841
gene11604,GeneID:102225545,1.00E-41,sp|Q86VP1|TAXB1_HUMAN,Q86VP1
gene11605,GeneID:102225285,2.00E-152,sp|Q96H20|SNF8_HUMAN,Q96H20
gene11606,GeneID:102224844,5.00E-106,sp|Q68DK7|MSL1_HUMAN,Q68DK7
gene11607,GeneID:102224583,3.00E-86,sp|O43633|CHM2A_HUMAN,O43633
gene11608,GeneID:102216415,2.00E-67,sp|Q6IN84|MRM1_HUMAN,Q6IN84
gene11609,GeneID:102224174,2.00E-37,sp|Q9HAH7|FBRS_HUMAN,Q9HAH7
gene1161,GeneID:111608820,NA,NA,
gene11610,GeneID:102238222,0,tr|A0A0A0MS59|A0A0A0MS59_HUMAN,A0A0A0MS59
gene11611,GeneID:102223912,3.00E-91,sp|Q12846|STX4_HUMAN,Q12846
gene11612,GeneID:102237961,0,tr|E7ERK8|E7ERK8_HUMAN,E7ERK8
gene11613,GeneID:102237704,3.00E-12,sp|Q8TBZ9|TEX47_HUMAN,Q8TBZ9
gene11614,GeneID:102223305,1.00E-130,sp|Q9GZM8|NDEL1_HUMAN,Q9GZM8
gene11615,GeneID:102237447,3.00E-69,sp|Q9H6L4|ARMC7_HUMAN,Q9H6L4
gene11616,GeneID:102237186,0,sp|Q96CM8|ACSF2_HUMAN,Q96CM8
gene11617,GeneID:102222628,2.00E-134,sp|O15335|CHAD_HUMAN,O15335
gene11618,GeneID:102236923,1.00E-152,tr|X5CMH5|X5CMH5_HUMAN,X5CMH5
gene11619,GeneID:102236665,1.00E-118,tr|J3QL40|J3QL40_HUMAN,J3QL40
gene1162,GeneID:102237995,0,sp|Q14573|ITPR3_HUMAN,Q14573
gene11620,GeneID:102222377,1.00E-130,sp|Q14681|KCTD2_HUMAN,Q14681
gene11621,GeneID:102221923,0,sp|Q9BSJ2|GCP2_HUMAN,Q9BSJ2
gene11622,GeneID:102236421,1.00E-148,sp|P78325|ADAM8_HUMAN,P78325
gene11623,GeneID:102221657,0,sp|O15111|IKKA_HUMAN,O15111
gene11624,GeneID:102236168,0,sp|A5PKW4|PSD1_HUMAN,A5PKW4
gene11625,GeneID:102233629,8.00E-85,sp|Q14590|ZN235_HUMAN,Q14590
gene11626,GeneID:111609887,1.00E-132,sp|Q14590|ZN235_HUMAN,Q14590
gene11627,GeneID:111609888,3.00E-72,sp|Q14590|ZN235_HUMAN,Q14590
gene11628,GeneID:106699813,7.00E-116,sp|Q14590|ZN235_HUMAN,Q14590
gene11629,GeneID:102235664,6.00E-95,sp|Q14590|ZN235_HUMAN,Q14590
gene1163,GeneID:102227699,0,sp|P12883|MYH7_HUMAN,P12883
gene11630,GeneID:102235155,1.00E-75,sp|Q14590|ZN235_HUMAN,Q14590
gene11631,GeneID:106699812,7.00E-102,sp|Q14590|ZN235_HUMAN,Q14590
gene11632,GeneID:111609925,4.00E-99,sp|Q14590|ZN235_HUMAN,Q14590
