tissue,direction_of_diff_expression,GO_term,Description,P-value,FDR q-value,Enrichment,N,B,n,b
gill,downregulated,GO:0050707,regulation of cytokine secretion,1.09E-07,8.86E-06,2.97,11186,114,924,28
gill,downregulated,GO:0019220,regulation of phosphate metabolic process,1.17E-07,9.46E-06,1.48,11186,1273,924,156
gill,downregulated,GO:0051174,regulation of phosphorus metabolic process,1.23E-07,9.90E-06,1.48,11186,1274,924,156
gill,downregulated,GO:0043410,positive regulation of MAPK cascade,1.45E-07,1.16E-05,2,11186,364,924,60
gill,downregulated,GO:0032653,regulation of interleukin-10 production,1.49E-07,1.18E-05,5.43,11186,29,924,13
gill,downregulated,GO:0043547,positive regulation of GTPase activity,1.67E-07,1.32E-05,2.15,11186,282,924,50
gill,downregulated,GO:0050670,regulation of lymphocyte proliferation,1.68E-07,1.32E-05,2.85,11186,123,924,29
gill,downregulated,GO:0010033,response to organic substance,1.75E-07,1.37E-05,1.43,11186,1497,924,177
gill,downregulated,GO:0010562,positive regulation of phosphorus metabolic process,1.77E-07,1.38E-05,1.64,11186,776,924,105
gill,downregulated,GO:0045937,positive regulation of phosphate metabolic process,1.77E-07,1.37E-05,1.64,11186,776,924,105
gill,downregulated,GO:0050801,ion homeostasis,1.86E-07,1.43E-05,1.81,11186,516,924,77
gill,downregulated,GO:0071310,cellular response to organic substance,1.87E-07,1.43E-05,1.55,11186,981,924,126
gill,downregulated,GO:0031341,regulation of cell killing,1.88E-07,1.43E-05,4.4,11186,44,924,16
gill,downregulated,GO:0051924,regulation of calcium ion transport,1.89E-07,1.43E-05,2.59,11186,159,924,34
gill,downregulated,GO:0072676,lymphocyte migration,1.93E-07,1.45E-05,4.66,11186,39,924,15
gill,downregulated,GO:0032944,regulation of mononuclear cell proliferation,2.03E-07,1.52E-05,2.83,11186,124,924,29
gill,downregulated,GO:0002699,positive regulation of immune effector process,2.45E-07,1.83E-05,2.75,11186,132,924,30
gill,downregulated,GO:0051247,positive regulation of protein metabolic process,2.56E-07,1.90E-05,1.48,11186,1207,924,148
gill,downregulated,GO:0018108,peptidyl-tyrosine phosphorylation,2.60E-07,1.92E-05,3,11186,105,924,26
gill,downregulated,GO:0002709,regulation of T cell mediated immunity,2.70E-07,1.98E-05,4.3,11186,45,924,16
gill,downregulated,GO:0001910,regulation of leukocyte mediated cytotoxicity,2.79E-07,2.04E-05,4.84,11186,35,924,14
gill,downregulated,GO:0070663,regulation of leukocyte proliferation,2.92E-07,2.13E-05,2.73,11186,133,924,30
gill,downregulated,GO:0038083,peptidyl-tyrosine autophosphorylation,3.06E-07,2.21E-05,5.59,11186,26,924,12
gill,downregulated,GO:0072678,T cell migration,3.34E-07,2.40E-05,6.73,11186,18,924,10
gill,downregulated,GO:0048869,cellular developmental process,3.72E-07,2.67E-05,1.37,11186,1830,924,207
gill,downregulated,GO:1990266,neutrophil migration,3.83E-07,2.73E-05,4.21,11186,46,924,16
gill,downregulated,GO:0031343,positive regulation of cell killing,3.87E-07,2.75E-05,5.08,11186,31,924,13
gill,downregulated,GO:0051092,positive regulation of NF-kappaB transcription factor activity,3.88E-07,2.74E-05,2.94,11186,107,924,26
gill,downregulated,GO:0032879,regulation of localization,3.96E-07,2.78E-05,1.35,11186,1960,924,219
gill,downregulated,GO:0042108,positive regulation of cytokine biosynthetic process,4.16E-07,2.91E-05,4.43,11186,41,924,15
gill,downregulated,GO:0055082,cellular chemical homeostasis,4.93E-07,3.43E-05,1.8,11186,483,924,72
gill,downregulated,GO:0051057,positive regulation of small GTPase mediated signal transduction,5.11E-07,3.54E-05,3.76,11186,58,924,18
gill,downregulated,GO:0061900,glial cell activation,6.16E-07,4.25E-05,5.79,11186,23,924,11
gill,downregulated,GO:0001934,positive regulation of protein phosphorylation,6.30E-07,4.32E-05,1.65,11186,681,924,93
gill,downregulated,GO:0035587,purinergic receptor signaling pathway,6.53E-07,4.46E-05,6.37,11186,19,924,10
gill,downregulated,GO:0071260,cellular response to mechanical stimulus,6.79E-07,4.61E-05,3.69,11186,59,924,18
gill,downregulated,GO:0071219,cellular response to molecule of bacterial origin,6.96E-07,4.71E-05,3.09,11186,90,924,23
gill,downregulated,GO:0070372,regulation of ERK1 and ERK2 cascade,7.23E-07,4.87E-05,2.38,11186,183,924,36
gill,downregulated,GO:0035589,G protein-coupled purinergic nucleotide receptor signaling pathway,7.71E-07,5.17E-05,8.07,11186,12,924,8
gill,downregulated,GO:0031399,regulation of protein modification process,8.50E-07,5.67E-05,1.44,11186,1303,924,155
gill,downregulated,GO:0051336,regulation of hydrolase activity,8.67E-07,5.76E-05,1.56,11186,860,924,111
gill,downregulated,GO:0002708,positive regulation of lymphocyte mediated immunity,9.07E-07,5.99E-05,3.49,11186,66,924,19
gill,downregulated,GO:0042127,regulation of cell proliferation,9.14E-07,6.01E-05,1.49,11186,1080,924,133
gill,downregulated,GO:0032655,regulation of interleukin-12 production,9.21E-07,6.03E-05,4.77,11186,33,924,13
gill,downregulated,GO:2001056,positive regulation of cysteine-type endopeptidase activity,9.76E-07,6.36E-05,2.88,11186,105,924,25
gill,downregulated,GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,1.06E-06,6.87E-05,3.03,11186,92,924,23
gill,downregulated,GO:0050920,regulation of chemotaxis,1.10E-06,7.12E-05,2.58,11186,141,924,30
gill,downregulated,GO:0048585,negative regulation of response to stimulus,1.12E-06,7.19E-05,1.46,11186,1206,924,145
gill,downregulated,GO:0002269,leukocyte activation involved in inflammatory response,1.16E-06,7.42E-05,6.81,11186,16,924,9
gill,downregulated,GO:0001774,microglial cell activation,1.16E-06,7.39E-05,6.81,11186,16,924,9
gill,downregulated,GO:0009595,detection of biotic stimulus,1.16E-06,7.36E-05,6.81,11186,16,924,9
gill,downregulated,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,1.19E-06,7.52E-05,3.1,11186,86,924,22
gill,downregulated,GO:0030334,regulation of cell migration,1.29E-06,8.11E-05,1.67,11186,616,924,85
gill,downregulated,GO:0002221,pattern recognition receptor signaling pathway,1.31E-06,8.24E-05,3.18,11186,80,924,21
gill,downregulated,GO:1903708,positive regulation of hemopoiesis,1.35E-06,8.42E-05,2.6,11186,135,924,29
gill,downregulated,GO:0042327,positive regulation of phosphorylation,1.42E-06,8.83E-05,1.6,11186,732,924,97
gill,downregulated,GO:1903530,regulation of secretion by cell,1.43E-06,8.86E-05,1.74,11186,515,924,74
gill,downregulated,GO:0045089,positive regulation of innate immune response,1.48E-06,9.11E-05,2.26,11186,204,924,38
gill,downregulated,GO:0006950,response to stress,1.52E-06,9.32E-05,1.33,11186,2027,924,222
gill,downregulated,GO:0051046,regulation of secretion,1.57E-06,9.60E-05,1.71,11186,544,924,77
gill,downregulated,GO:0048872,homeostasis of number of cells,1.64E-06,9.97E-05,3.14,11186,81,924,21
gill,downregulated,GO:0046637,regulation of alpha-beta T cell differentiation,1.65E-06,1.00E-04,4.04,11186,45,924,15
gill,downregulated,GO:0006968,cellular defense response,1.74E-06,1.05E-04,5.33,11186,25,924,11
gill,downregulated,GO:0032715,negative regulation of interleukin-6 production,1.74E-06,1.05E-04,5.33,11186,25,924,11
gill,downregulated,GO:0035025,positive regulation of Rho protein signal transduction,1.74E-06,1.04E-04,5.33,11186,25,924,11
gill,downregulated,GO:0010952,positive regulation of peptidase activity,1.85E-06,1.10E-04,2.56,11186,137,924,29
gill,downregulated,GO:0030888,regulation of B cell proliferation,1.88E-06,1.12E-04,4.24,11186,40,924,14
gill,downregulated,GO:0042116,macrophage activation,2.01E-06,1.19E-04,4.84,11186,30,924,12
gill,downregulated,GO:0045577,regulation of B cell differentiation,2.14E-06,1.26E-04,5.76,11186,21,924,10
gill,downregulated,GO:0048519,negative regulation of biological process,2.26E-06,1.33E-04,1.21,11186,3610,924,362
gill,downregulated,GO:0045058,T cell selection,2.28E-06,1.33E-04,6.41,11186,17,924,9
gill,downregulated,GO:0071216,cellular response to biotic stimulus,2.44E-06,1.42E-04,2.75,11186,110,924,25
gill,downregulated,GO:0046579,positive regulation of Ras protein signal transduction,2.49E-06,1.44E-04,3.72,11186,52,924,16
gill,downregulated,GO:0002791,regulation of peptide secretion,2.49E-06,1.44E-04,1.94,11186,325,924,52
gill,downregulated,GO:2000145,regulation of cell motility,2.57E-06,1.48E-04,1.63,11186,655,924,88
gill,downregulated,GO:0001912,positive regulation of leukocyte mediated cytotoxicity,2.79E-06,1.60E-04,5.12,11186,26,924,11
gill,downregulated,GO:0050708,regulation of protein secretion,2.79E-06,1.59E-04,1.96,11186,309,924,50
gill,downregulated,GO:0051282,regulation of sequestering of calcium ion,2.80E-06,1.59E-04,3.14,11186,77,924,20
gill,downregulated,GO:0050793,regulation of developmental process,3.05E-06,1.73E-04,1.33,11186,1894,924,208
gill,downregulated,GO:0030154,cell differentiation,3.05E-06,1.72E-04,1.43,11186,1248,924,147
gill,downregulated,GO:0019932,second-messenger-mediated signaling,3.07E-06,1.72E-04,2.19,11186,210,924,38
gill,downregulated,GO:0032680,regulation of tumor necrosis factor production,3.09E-06,1.73E-04,3.03,11186,84,924,21
gill,downregulated,GO:1901700,response to oxygen-containing compound,3.14E-06,1.75E-04,1.5,11186,963,924,119
gill,downregulated,GO:0032496,response to lipopolysaccharide,3.24E-06,1.80E-04,2.34,11186,171,924,33
gill,downregulated,GO:0034341,response to interferon-gamma,3.25E-06,1.80E-04,3.35,11186,65,924,18
gill,downregulated,GO:0070661,leukocyte proliferation,3.30E-06,1.82E-04,3.65,11186,53,924,16
gill,downregulated,GO:0046635,positive regulation of alpha-beta T cell activation,3.67E-06,2.01E-04,4.04,11186,42,924,14
gill,downregulated,GO:0002758,innate immune response-activating signal transduction,3.68E-06,2.01E-04,2.44,11186,149,924,30
gill,downregulated,GO:0042221,response to chemical,3.85E-06,2.10E-04,1.33,11186,1857,924,204
gill,downregulated,GO:0050854,regulation of antigen receptor-mediated signaling pathway,4.19E-06,2.27E-04,4.25,11186,37,924,13
gill,downregulated,GO:0002312,B cell activation involved in immune response,4.48E-06,2.43E-04,4.54,11186,32,924,12
gill,downregulated,GO:0007187,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",4.58E-06,2.47E-04,2.46,11186,143,924,29
gill,downregulated,GO:0051246,regulation of protein metabolic process,4.59E-06,2.46E-04,1.31,11186,1981,924,215
gill,downregulated,GO:0002821,positive regulation of adaptive immune response,4.78E-06,2.56E-04,3.15,11186,73,924,19
gill,downregulated,GO:0002695,negative regulation of leukocyte activation,4.93E-06,2.63E-04,2.72,11186,107,924,24
gill,downregulated,GO:0010950,positive regulation of endopeptidase activity,5.49E-06,2.92E-04,2.58,11186,122,924,26
gill,downregulated,GO:0051270,regulation of cellular component movement,5.82E-06,3.08E-04,1.58,11186,707,924,92
gill,downregulated,GO:0001959,regulation of cytokine-mediated signaling pathway,5.91E-06,3.11E-04,2.76,11186,101,924,23
gill,downregulated,GO:0010959,regulation of metal ion transport,6.08E-06,3.19E-04,2.04,11186,249,924,42
gill,downregulated,GO:0071345,cellular response to cytokine stimulus,6.26E-06,3.28E-04,1.92,11186,309,924,49
gill,downregulated,GO:0001562,response to protozoan,6.30E-06,3.29E-04,7.7,11186,11,924,7
gill,downregulated,GO:0042832,defense response to protozoan,6.30E-06,3.27E-04,7.7,11186,11,924,7
gill,downregulated,GO:0045824,negative regulation of innate immune response,6.52E-06,3.38E-04,4.4,11186,33,924,12
gill,downregulated,GO:0002824,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,6.55E-06,3.38E-04,3.2,11186,68,924,18
gill,downregulated,GO:0031325,positive regulation of cellular metabolic process,6.61E-06,3.40E-04,1.28,11186,2343,924,247
gill,downregulated,GO:0002218,activation of innate immune response,6.71E-06,3.44E-04,2.33,11186,161,924,31
gill,downregulated,GO:0060759,regulation of response to cytokine stimulus,6.93E-06,3.54E-04,2.67,11186,109,924,24
gill,downregulated,GO:0032649,regulation of interferon-gamma production,7.30E-06,3.72E-04,3.46,11186,56,924,16
gill,downregulated,GO:0050866,negative regulation of cell activation,7.51E-06,3.81E-04,2.54,11186,124,924,26
gill,downregulated,GO:0002315,marginal zone B cell differentiation,7.57E-06,3.83E-04,9.08,11186,8,924,6
gill,downregulated,GO:2000116,regulation of cysteine-type endopeptidase activity,7.66E-06,3.86E-04,2.32,11186,162,924,31
gill,downregulated,GO:0050857,positive regulation of antigen receptor-mediated signaling pathway,8.00E-06,4.02E-04,6.46,11186,15,924,8
gill,downregulated,GO:0035590,purinergic nucleotide receptor signaling pathway,8.00E-06,4.00E-04,6.46,11186,15,924,8
gill,downregulated,GO:2000514,"regulation of CD4-positive, alpha-beta T cell activation",8.17E-06,4.07E-04,4.04,11186,39,924,13
gill,downregulated,GO:0001776,leukocyte homeostasis,8.17E-06,4.06E-04,4.04,11186,39,924,13
gill,downregulated,GO:0032270,positive regulation of cellular protein metabolic process,8.89E-06,4.40E-04,1.43,11186,1127,924,133
gill,downregulated,GO:0008360,regulation of cell shape,9.24E-06,4.56E-04,2.56,11186,118,924,25
gill,downregulated,GO:0071346,cellular response to interferon-gamma,9.38E-06,4.62E-04,3.4,11186,57,924,16
gill,downregulated,GO:0071222,cellular response to lipopolysaccharide,9.65E-06,4.73E-04,2.92,11186,83,924,20
gill,downregulated,GO:0034097,response to cytokine,9.70E-06,4.74E-04,1.79,11186,385,924,57
gill,downregulated,GO:0002286,T cell activation involved in immune response,9.92E-06,4.83E-04,4.59,11186,29,924,11
gill,downregulated,GO:1901222,regulation of NIK/NF-kappaB signaling,1.02E-05,4.94E-04,3.11,11186,70,924,18
gill,downregulated,GO:0048523,negative regulation of cellular process,1.12E-05,5.40E-04,1.21,11186,3251,924,326
gill,downregulated,GO:0043087,regulation of GTPase activity,1.12E-05,5.41E-04,1.84,11186,342,924,52
gill,downregulated,GO:1902532,negative regulation of intracellular signal transduction,1.13E-05,5.43E-04,1.77,11186,396,924,58
gill,downregulated,GO:0019725,cellular homeostasis,1.13E-05,5.42E-04,1.61,11186,602,924,80
gill,downregulated,GO:0032733,positive regulation of interleukin-10 production,1.25E-05,5.99E-04,5.45,11186,20,924,9
gill,downregulated,GO:0050830,defense response to Gram-positive bacterium,1.31E-05,6.25E-04,4.15,11186,35,924,12
gill,downregulated,GO:0016192,vesicle-mediated transport,1.35E-05,6.41E-04,1.4,11186,1209,924,140
gill,downregulated,GO:0002313,mature B cell differentiation involved in immune response,1.40E-05,6.64E-04,7.06,11186,12,924,7
gill,downregulated,GO:0045076,regulation of interleukin-2 biosynthetic process,1.40E-05,6.62E-04,7.06,11186,12,924,7
gill,downregulated,GO:0043900,regulation of multi-organism process,1.43E-05,6.70E-04,1.99,11186,249,924,41
gill,downregulated,GO:0042129,regulation of T cell proliferation,1.43E-05,6.71E-04,2.76,11186,92,924,21
gill,downregulated,GO:0030335,positive regulation of cell migration,1.45E-05,6.75E-04,1.79,11186,372,924,55
gill,downregulated,GO:0030041,actin filament polymerization,1.46E-05,6.79E-04,4.84,11186,25,924,10
gill,downregulated,GO:0048247,lymphocyte chemotaxis,1.46E-05,6.76E-04,4.84,11186,25,924,10
gill,downregulated,GO:0002335,mature B cell differentiation,1.48E-05,6.86E-04,6.05,11186,16,924,8
gill,downregulated,GO:0046651,lymphocyte proliferation,1.60E-05,7.39E-04,3.61,11186,47,924,14
gill,downregulated,GO:0070665,positive regulation of leukocyte proliferation,1.65E-05,7.58E-04,2.91,11186,79,924,19
gill,downregulated,GO:0070887,cellular response to chemical stimulus,1.67E-05,7.66E-04,1.4,11186,1214,924,140
gill,downregulated,GO:1903169,regulation of calcium ion transmembrane transport,1.68E-05,7.68E-04,2.66,11186,100,924,22
gill,downregulated,GO:0050921,positive regulation of chemotaxis,1.70E-05,7.74E-04,2.82,11186,86,924,20
gill,downregulated,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,1.75E-05,7.95E-04,2.34,11186,145,924,28
gill,downregulated,GO:0032663,regulation of interleukin-2 production,1.82E-05,8.24E-04,4.04,11186,36,924,12
gill,downregulated,GO:0002687,positive regulation of leukocyte migration,1.90E-05,8.58E-04,2.99,11186,73,924,18
gill,downregulated,GO:0009612,response to mechanical stimulus,1.92E-05,8.65E-04,2.37,11186,138,924,27
gill,downregulated,GO:0031401,positive regulation of protein modification process,2.04E-05,9.15E-04,1.48,11186,849,924,104
gill,downregulated,GO:0002260,lymphocyte homeostasis,2.08E-05,9.30E-04,4.3,11186,31,924,11
gill,downregulated,GO:0032943,mononuclear cell proliferation,2.09E-05,9.32E-04,3.53,11186,48,924,14
gill,downregulated,GO:0050862,positive regulation of T cell receptor signaling pathway,2.11E-05,9.38E-04,8.07,11186,9,924,6
gill,downregulated,GO:0002688,regulation of leukocyte chemotaxis,2.16E-05,9.56E-04,3.07,11186,67,924,17
gill,downregulated,GO:0051482,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway,2.20E-05,9.69E-04,4.66,11186,26,924,10
gill,downregulated,GO:0006928,movement of cell or subcellular component,2.32E-05,1.02E-03,1.45,11186,953,924,114
gill,downregulated,GO:0002793,positive regulation of peptide secretion,2.35E-05,1.03E-03,2.16,11186,179,924,32
gill,downregulated,GO:0006959,humoral immune response,2.44E-05,1.07E-03,2.75,11186,88,924,20
gill,downregulated,GO:0050871,positive regulation of B cell activation,2.60E-05,1.13E-03,3.3,11186,55,924,15
gill,downregulated,GO:0050829,defense response to Gram-negative bacterium,2.60E-05,1.13E-03,5.7,11186,17,924,8
gill,downregulated,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,2.77E-05,1.20E-03,2.37,11186,133,924,26
gill,downregulated,GO:0032102,negative regulation of response to external stimulus,2.84E-05,1.23E-03,1.98,11186,239,924,39
gill,downregulated,GO:0007015,actin filament organization,2.95E-05,1.27E-03,2.14,11186,181,924,32
gill,downregulated,GO:0001816,cytokine production,2.99E-05,1.28E-03,3.12,11186,62,924,16
gill,downregulated,GO:0051047,positive regulation of secretion,3.04E-05,1.30E-03,1.88,11186,283,924,44
gill,downregulated,GO:0009893,positive regulation of metabolic process,3.06E-05,1.31E-03,1.24,11186,2537,924,260
gill,downregulated,GO:0045595,regulation of cell differentiation,3.12E-05,1.33E-03,1.36,11186,1345,924,151
gill,downregulated,GO:1904892,regulation of STAT cascade,3.26E-05,1.39E-03,2.98,11186,69,924,17
gill,downregulated,GO:2000147,positive regulation of cell motility,3.35E-05,1.42E-03,1.74,11186,383,924,55
gill,downregulated,GO:0008154,actin polymerization or depolymerization,3.38E-05,1.43E-03,3.82,11186,38,924,12
gill,downregulated,GO:0033993,response to lipid,3.44E-05,1.45E-03,1.63,11186,505,924,68
gill,downregulated,GO:0032479,regulation of type I interferon production,3.45E-05,1.45E-03,2.69,11186,90,924,20
gill,downregulated,GO:0040017,positive regulation of locomotion,3.76E-05,1.57E-03,1.71,11186,403,924,57
gill,downregulated,GO:0071496,cellular response to external stimulus,3.78E-05,1.58E-03,1.95,11186,242,924,39
gill,downregulated,GO:0070374,positive regulation of ERK1 and ERK2 cascade,3.79E-05,1.58E-03,2.42,11186,120,924,24
gill,downregulated,GO:0050714,positive regulation of protein secretion,3.80E-05,1.58E-03,2.17,11186,167,924,30
gill,downregulated,GO:1903531,negative regulation of secretion by cell,4.00E-05,1.65E-03,2.36,11186,128,924,25
gill,downregulated,GO:2000026,regulation of multicellular organismal development,4.11E-05,1.70E-03,1.33,11186,1523,924,167
gill,downregulated,GO:0071356,cellular response to tumor necrosis factor,4.13E-05,1.70E-03,2.83,11186,77,924,18
gill,downregulated,GO:0050715,positive regulation of cytokine secretion,4.13E-05,1.69E-03,2.83,11186,77,924,18
gill,downregulated,GO:0045862,positive regulation of proteolysis,4.15E-05,1.70E-03,1.89,11186,269,924,42
gill,downregulated,GO:0046777,protein autophosphorylation,4.24E-05,1.73E-03,2.27,11186,144,924,27
gill,downregulated,GO:1901701,cellular response to oxygen-containing compound,4.28E-05,1.74E-03,1.56,11186,605,924,78
gill,downregulated,GO:0097028,dendritic cell differentiation,4.34E-05,1.76E-03,5.38,11186,18,924,8
gill,downregulated,GO:0051272,positive regulation of cellular component movement,4.42E-05,1.79E-03,1.71,11186,396,924,56
gill,downregulated,GO:0042102,positive regulation of T cell proliferation,4.44E-05,1.79E-03,3.32,11186,51,924,14
gill,downregulated,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,4.57E-05,1.84E-03,3.03,11186,64,924,16
gill,downregulated,GO:0051091,positive regulation of DNA-binding transcription factor activity,4.61E-05,1.85E-03,2.09,11186,185,924,32
gill,downregulated,GO:0043374,"CD8-positive, alpha-beta T cell differentiation",4.63E-05,1.85E-03,12.11,11186,4,924,4
gill,downregulated,GO:2000516,"positive regulation of CD4-positive, alpha-beta T cell activation",4.86E-05,1.94E-03,4.74,11186,23,924,9
gill,downregulated,GO:0010919,regulation of inositol phosphate biosynthetic process,4.91E-05,1.96E-03,7.26,11186,10,924,6
gill,downregulated,GO:0097284,hepatocyte apoptotic process,4.91E-05,1.95E-03,7.26,11186,10,924,6
gill,downregulated,GO:0051250,negative regulation of lymphocyte activation,4.94E-05,1.96E-03,2.71,11186,85,924,19
gill,downregulated,GO:0030183,B cell differentiation,5.13E-05,2.03E-03,3.13,11186,58,924,15
gill,downregulated,GO:0045061,thymic T cell selection,5.25E-05,2.07E-03,6.05,11186,14,924,7
gill,downregulated,GO:0098581,detection of external biotic stimulus,5.25E-05,2.06E-03,6.05,11186,14,924,7
gill,downregulated,GO:0051049,regulation of transport,5.48E-05,2.15E-03,1.35,11186,1296,924,145
gill,downregulated,GO:0002711,positive regulation of T cell mediated immunity,5.58E-05,2.18E-03,3.92,11186,34,924,11
gill,downregulated,GO:0046638,positive regulation of alpha-beta T cell differentiation,5.58E-05,2.17E-03,3.92,11186,34,924,11
gill,downregulated,GO:0051090,regulation of DNA-binding transcription factor activity,6.06E-05,2.35E-03,1.82,11186,300,924,45
gill,downregulated,GO:1903532,positive regulation of secretion by cell,6.30E-05,2.44E-03,1.87,11186,265,924,41
gill,downregulated,GO:1903707,negative regulation of hemopoiesis,6.66E-05,2.57E-03,2.58,11186,94,924,20
gill,downregulated,GO:0032268,regulation of cellular protein metabolic process,6.68E-05,2.58E-03,1.28,11186,1841,924,195
gill,downregulated,GO:0014066,regulation of phosphatidylinositol 3-kinase signaling,6.93E-05,2.66E-03,2.64,11186,87,924,19
gill,downregulated,GO:0032494,response to peptidoglycan,6.94E-05,2.66E-03,8.65,11186,7,924,5
gill,downregulated,GO:0002523,leukocyte migration involved in inflammatory response,6.94E-05,2.65E-03,8.65,11186,7,924,5
gill,downregulated,GO:0033625,positive regulation of integrin activation,6.94E-05,2.65E-03,8.65,11186,7,924,5
gill,downregulated,GO:0032946,positive regulation of mononuclear cell proliferation,7.06E-05,2.69E-03,2.82,11186,73,924,17
gill,downregulated,GO:0050671,positive regulation of lymphocyte proliferation,7.06E-05,2.68E-03,2.82,11186,73,924,17
gill,downregulated,GO:0032755,positive regulation of interleukin-6 production,7.06E-05,2.67E-03,3.2,11186,53,924,14
gill,downregulated,GO:0043405,regulation of MAP kinase activity,7.20E-05,2.72E-03,1.9,11186,249,924,39
gill,downregulated,GO:0071396,cellular response to lipid,7.49E-05,2.82E-03,1.86,11186,267,924,41
gill,downregulated,GO:0034612,response to tumor necrosis factor,7.80E-05,2.93E-03,2.55,11186,95,924,20
gill,downregulated,GO:0051607,defense response to virus,7.80E-05,2.92E-03,2.55,11186,95,924,20
gill,downregulated,GO:0090087,regulation of peptide transport,8.15E-05,3.05E-03,1.59,11186,519,924,68
gill,downregulated,GO:0045597,positive regulation of cell differentiation,8.16E-05,3.04E-03,1.48,11186,726,924,89
gill,downregulated,GO:0002224,toll-like receptor signaling pathway,8.30E-05,3.09E-03,2.89,11186,67,924,16
gill,downregulated,GO:0046425,regulation of JAK-STAT cascade,8.30E-05,3.08E-03,2.89,11186,67,924,16
gill,downregulated,GO:0001773,myeloid dendritic cell activation,9.14E-05,3.38E-03,5.65,11186,15,924,7
gill,downregulated,GO:0050855,regulation of B cell receptor signaling pathway,9.14E-05,3.37E-03,5.65,11186,15,924,7
gill,downregulated,GO:0051223,regulation of protein transport,9.35E-05,3.44E-03,1.59,11186,502,924,66
gill,downregulated,GO:0051094,positive regulation of developmental process,9.37E-05,3.44E-03,1.4,11186,1005,924,116
gill,downregulated,GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,9.62E-05,3.52E-03,2.98,11186,61,924,15
gill,downregulated,GO:0043011,myeloid dendritic cell differentiation,1.01E-04,3.67E-03,6.6,11186,11,924,6
gill,downregulated,GO:0016064,immunoglobulin mediated immune response,1.01E-04,3.66E-03,6.6,11186,11,924,6
gill,downregulated,GO:0060263,regulation of respiratory burst,1.01E-04,3.65E-03,6.6,11186,11,924,6
gill,downregulated,GO:0042509,regulation of tyrosine phosphorylation of STAT protein,1.01E-04,3.67E-03,3.46,11186,42,924,12
gill,downregulated,GO:1905521,regulation of macrophage migration,1.04E-04,3.78E-03,4.36,11186,25,924,9
gill,downregulated,GO:0002292,T cell differentiation involved in immune response,1.08E-04,3.88E-03,4.84,11186,20,924,8
gill,downregulated,GO:0032673,regulation of interleukin-4 production,1.08E-04,3.87E-03,4.84,11186,20,924,8
gill,downregulated,GO:0032735,positive regulation of interleukin-12 production,1.08E-04,3.86E-03,4.84,11186,20,924,8
gill,downregulated,GO:0051896,regulation of protein kinase B signaling,1.12E-04,3.99E-03,2.15,11186,152,924,27
gill,downregulated,GO:0051048,negative regulation of secretion,1.12E-04,4.02E-03,2.23,11186,136,924,25
gill,downregulated,GO:0001933,negative regulation of protein phosphorylation,1.13E-04,4.04E-03,1.76,11186,317,924,46
gill,downregulated,GO:0033209,tumor necrosis factor-mediated signaling pathway,1.17E-04,4.18E-03,2.63,11186,83,924,18
gill,downregulated,GO:0090066,regulation of anatomical structure size,1.24E-04,4.41E-03,1.79,11186,291,924,43
gill,downregulated,GO:0043370,"regulation of CD4-positive, alpha-beta T cell differentiation",1.25E-04,4.43E-03,3.91,11186,31,924,10
gill,downregulated,GO:0042326,negative regulation of phosphorylation,1.27E-04,4.47E-03,1.71,11186,346,924,49
gill,downregulated,GO:0038093,Fc receptor signaling pathway,1.27E-04,4.47E-03,2.21,11186,137,924,25
gill,downregulated,GO:0051701,interaction with host,1.31E-04,4.60E-03,2.4,11186,106,924,21
gill,downregulated,GO:0032648,regulation of interferon-beta production,1.33E-04,4.64E-03,3.6,11186,37,924,11
gill,downregulated,GO:0061515,myeloid cell development,1.33E-04,4.63E-03,3.6,11186,37,924,11
gill,downregulated,GO:0032729,positive regulation of interferon-gamma production,1.33E-04,4.62E-03,3.6,11186,37,924,11
gill,downregulated,GO:0006665,sphingolipid metabolic process,1.37E-04,4.77E-03,2.34,11186,114,924,22
gill,downregulated,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,1.43E-04,4.96E-03,2.67,11186,77,924,17
gill,downregulated,GO:0051173,positive regulation of nitrogen compound metabolic process,1.45E-04,5.01E-03,1.24,11186,2232,924,228
gill,downregulated,GO:0030890,positive regulation of B cell proliferation,1.48E-04,5.12E-03,4.19,11186,26,924,9
gill,downregulated,GO:0002833,positive regulation of response to biotic stimulus,1.48E-04,5.11E-03,4.19,11186,26,924,9
gill,downregulated,GO:0002287,alpha-beta T cell activation involved in immune response,1.51E-04,5.19E-03,5.3,11186,16,924,7
gill,downregulated,GO:0002293,alpha-beta T cell differentiation involved in immune response,1.51E-04,5.17E-03,5.3,11186,16,924,7
gill,downregulated,GO:0001914,regulation of T cell mediated cytotoxicity,1.51E-04,5.16E-03,5.3,11186,16,924,7
